Year,Job_Type,Tech_Index,AI_Adoption,Automation_Level,Education_Index,Remote_Work_Index,Market_Demand,Job_Trend_Score
2031,Civil Engineer,71.21,58.33,72,70.24,23.32,65.74,55.6
2033,Doctor,83.12,71.52,72.51,67.71,40.18,85.34,63.77
2028,Digital Marketer,69.92,71.85,62.12,67.58,34.45,54.15,63.5
2034,Project Manager,83.59,54.13,55.97,54.8,49.28,96.84,64.32
2031,Data Scientist,68.51,37.96,65.23,48.11,52.81,67.85,58.35
2020,Digital Marketer,63.21,46.51,37.89,76.42,53.45,54.78,63.84
2028,Cybersecurity Analyst,88.11,39.89,88.74,59.55,65.81,92.87,75.24
2027,Civil Engineer,69.79,77.47,88.48,64.51,72.4,64.44,63.54
2020,Data Scientist,61.01,80.07,63.58,68.27,64.51,72.92,82.53
2025,Software Developer,60.9,83.8,58.95,81.29,41.59,78.61,80.09
2024,Digital Marketer,60.93,30,46.77,66.61,38.27,84.21,59.14
2025,Financial Analyst,78.44,76.07,65.57,61.05,50.04,73.6,79.17
2029,Data Scientist,69.01,93.18,41.17,59.76,56.39,62.23,86.19
2031,Cybersecurity Analyst,92.98,76.68,20,64.63,47.25,72.63,73.69
2032,AI Engineer,81.86,30,20,55.91,29.82,64.97,49.29
2032,Doctor,72.57,86.52,39.01,65.29,60.23,72.99,63.4
2032,Teacher,84.04,60.63,58.13,64.48,44.12,89.54,58.01
2034,Content Creator,65.04,56.51,61.64,81.42,43.66,79.07,63.46
2024,Teacher,51.45,66.77,45.26,64.16,49.18,72.48,52.27
2025,Cybersecurity Analyst,60.1,44.26,57.84,45.76,46.4,78.86,67.43
2024,Project Manager,71.47,60.04,49.52,91.74,44.5,79.72,65.8
2030,Project Manager,67.77,84.31,35.01,74.57,30.8,57.07,73.51
2031,AI Engineer,78.24,69.34,53.93,85.82,48.32,70.5,73.96
2024,Content Creator,68.75,60.88,71.26,53.43,60.54,100,69.51
2023,Financial Analyst,77.48,61.34,35.92,62.78,53.97,84.55,67.86
2022,AI Engineer,85.01,42.28,35.93,71.74,64.22,63.96,67.45
2022,Accountant,68.72,57.75,33.61,70.36,39.07,62.76,42.06
2023,Teacher,75.55,35.49,20,68.07,30.83,62.36,47.81
2028,AI Engineer,52.45,75.34,45.4,43,46.31,80.4,63.01
2021,Teacher,68.76,30,69.28,47.88,40.79,89.29,53
2034,Data Scientist,57.68,72.82,58.48,80.18,42.34,76.99,68.11
2028,Project Manager,71.45,74.69,51.61,81.95,53.18,71.89,67.6
